company_name,day,total_amount
Muebles chidos,2019-04-20,10568.0
MiPasajefy,2019-03-14,6713.21
MiPasajefy,2019-03-20,5439.26
Muebles chidos,2019-04-17,12273.05
Muebles chidos,2019-01-22,7999.0
Muebles chidos,2019-02-20,1598.0
MiPasajefy,2019-01-15,6770.77
MiPasajefy,2019-05-15,5213.96
MiPasajefy,2019-04-23,3697.81
MiPasajefy,2019-02-05,64287.58
Muebles chidos,2019-02-12,1859.0
Muebles chidos,2019-02-25,22221.15
MiPasajefy,2019-02-15,7895.9
Muebles chidos,2019-01-27,6999.0
MiPasajefy,2019-04-06,25111.57
MiPasajefy,2019-04-18,3673.94
MiPasajefy,2019-05-09,6079.21
MiPasajefy,2019-02-27,8496.98
MiPasajefy,2019-05-11,3581.35
MiPasajefy,2019-03-08,7679.82
MiPasajefy,2019-05-13,4541.87
MiPasajefy,2019-03-12,4237.14
MiPasajefy,2019-04-30,7103.17
Muebles chidos,2019-02-02,15760.0
MiPasajefy,2019-01-13,23541.02
MiPasajefy,2019-02-09,3143.82
MiPasajefy,2019-05-02,46224.82
Muebles chidos,2019-01-03,3199.0
MiPasajefy,2019-01-06,4005.46
MiPasajefy,2019-05-07,5230.69
MiPasajefy,2019-02-03,3378.15
MiPasajefy,2019-03-02,22584.39
MiPasajefy,2019-02-19,6890.84
MiPasajefy,2019-03-10,4284.61
MiPasajefy,2019-04-19,2562.41
MiPasajefy,2019-02-22,8194.43
Muebles chidos,2019-03-09,6999.0
MiPasajefy,2019-03-31,4510.19
Muebles chidos,2019-02-19,10997.0
MiPasajefy,2019-01-16,16372.74
Muebles chidos,2019-03-19,11969.0
MiPasajefy,2019-04-15,5558.75
MiPasajefy,2019-04-13,4542.59
Muebles chidos,2019-03-13,7638.4
MiPasajefy,2019-04-10,4726.9
MiPasajefy,2019-01-30,6070.39
MiPasajefy,2019-04-27,4502.83
MiPasajefy,2019-05-05,3112.96
MiPasajefy,2019-02-04,11504.24
MiPasajefy,2019-01-04,6349.69
Muebles chidos,2019-01-30,3743.1
MiPasajefy,2019-03-06,8999.9
MiPasajefy,2019-03-29,7119.94
Muebles chidos,2019-03-29,42243.0
Muebles chidos,2019-04-16,40972.0
MiPasajefy,2019-01-05,5184.97
MiPasajefy,2019-05-03,11414.64
MiPasajefy,2019-02-13,7198.05
Muebles chidos,2019-05-08,519.0
MiPasajefy,2019-04-03,8820.54
Muebles chidos,2019-03-06,110839.0
MiPasajefy,2019-03-01,44466.58
MiPasajefy,2019-05-16,9361.46
MiPasajefy,2019-04-20,2826.56
Muebles chidos,2019-03-18,5999.0
Muebles chidos,2019-03-11,7898.0
MiPasajefy,2019-01-01,4150.04
Muebles chidos,2019-01-26,9999.0
Muebles chidos,2019-02-23,52239.0
MiPasajefy,2019-03-30,4929.45
Muebles chidos,2019-02-27,12132.0
Muebles chidos,2019-04-14,7716.0
Muebles chidos,2019-05-03,7199.1
MiPasajefy,2019-04-02,57728.89
Muebles chidos,2019-03-21,7999.0
Muebles chidos,2019-03-27,7999.0
MiPasajefy,2019-02-21,6339.35
MiPasajefy,2019-04-17,5819.9
Muebles chidos,2019-01-24,44311.0
MiPasajefy,2019-02-01,30462.75
MiPasajefy,2019-01-09,5859.0
MiPasajefy,2019-05-17,8143.4
Muebles chidos,2019-02-22,3068.0
MiPasajefy,2019-03-04,5739.03
Muebles chidos,2019-02-06,4488.0
Muebles chidos,2019-04-13,25831.8
Muebles chidos,2019-01-14,8197.0
MiPasajefy,2019-02-25,5345.52
MiPasajefy,2019-04-07,4817.24
